id,x,y,date,time
190632276,-106.32435562024182,33.11899256570623,01 / 06 / 2023,19:42:00.35 UTC
190703109,-106.19307094606907,33.151814317083335,01 / 06 / 2023,20:42:39.4875 UTC
192017394,-106.24912366912925,33.25191299939224,01 / 09 / 2023,19:25:24.56162 UTC
195454121,-106.64439782570548,33.61232467986444,01 / 18 / 2023,07:11:33.4375 UTC
195454124,-106.66559824969352,33.67357936741384,01 / 18 / 2023,07:12:04.5375 UTC
195454125,-106.64954932131701,33.6274647749165,01 / 18 / 2023,07:12:18.45 UTC
195454126,-106.65419772033243,33.68003795137471,01 / 18 / 2023,07:11:04.4875 UTC
195454127,-106.6660118502364,33.67353512100618,01 / 18 / 2023,07:11:04.525 UTC
195454128,-106.66097029986845,33.67985470041065,01 / 18 / 2023,07:12:19.475 UTC
195454129,-106.66785992516527,33.67984008403425,01 / 18 / 2023,07:12:19.475 UTC
195454130,-106.69386837487697,33.66577631612252,01 / 18 / 2023,07:11:34.475 UTC
195454131,-106.65386925066605,33.68371941810199,01 / 18 / 2023,07:12:19.475 UTC
195454132,-106.6658477783229,33.675129910690806,01 / 18 / 2023,07:12:34.475 UTC
195454133,-106.65409264777239,33.67721893826202,01 / 18 / 2023,07:12:49.675 UTC
195454134,-106.63515864554986,33.564087211583555,01 / 18 / 2023,07:13:03.4375 UTC
195454135,-106.63364225020652,33.56282613486162,01 / 18 / 2023,07:12:49.475 UTC
195454136,-106.67155325972271,33.68087736249668,01 / 18 / 2023,07:12:49.525 UTC
195454137,-106.66213757176217,33.67391179675834,01 / 18 / 2023,07:12:35.025 UTC
195454138,-106.64566511368439,33.62367046903423,01 / 18 / 2023,07:13:03.5875 UTC
195454139,-106.67038970922133,33.67391720310865,01 / 18 / 2023,07:12:34.8625 UTC
195454140,-106.65791283569274,33.62208775412269,01 / 18 / 2023,07:13:03.5125 UTC
195454141,-106.63400061251859,33.56085433459512,01 / 18 / 2023,07:13:03.4375 UTC
195454142,-106.63456750568437,33.55094645223753,01 / 18 / 2023,07:12:49.475 UTC
195454143,-106.63972398458225,33.5559260812325,01 / 18 / 2023,07:13:03.4375 UTC
195454144,-106.65878339760121,33.6779449073492,01 / 18 / 2023,07:12:49.475 UTC
195454145,-106.67474760152453,33.67200902726008,01 / 18 / 2023,07:12:49.7125 UTC
195454146,-106.67055953698427,33.67500050759602,01 / 18 / 2023,07:12:34.7375 UTC
195454147,-106.63955202615253,33.687922546666464,01 / 18 / 2023,07:12:05.1875 UTC
195454148,-106.66316175026502,33.678495804016926,01 / 18 / 2023,07:13:05.225 UTC
195454149,-106.66016282114609,33.68128678680201,01 / 18 / 2023,07:13:04.475 UTC
195454150,-106.63519544210833,33.56485237950806,01 / 18 / 2023,07:13:04.5125 UTC
195454151,-106.63381075144909,33.56323078277629,01 / 18 / 2023,07:13:18.4375 UTC
195454152,-106.64540500769508,33.5653595739362,01 / 18 / 2023,07:13:18.4 UTC
195454153,-106.63428198657927,33.55699490542888,01 / 18 / 2023,07:13:18.4375 UTC
195454154,-106.6365873773867,33.566326890936274,01 / 18 / 2023,07:13:33.4375 UTC
195454155,-106.63307542116927,33.562402460752814,01 / 18 / 2023,07:13:19.475 UTC
195454156,-106.62643556408152,33.554125964686456,01 / 18 / 2023,07:13:19.475 UTC
195454157,-106.61080626699038,33.55310986052291,01 / 18 / 2023,07:13:19.475 UTC
195454158,-106.63762721644494,33.57353417662666,01 / 18 / 2023,07:13:33.4375 UTC
195454159,-106.63327801652221,33.56034181942585,01 / 18 / 2023,07:13:19.475 UTC
195454160,-106.63713183265625,33.55941653591041,01 / 18 / 2023,07:13:19.475 UTC
195454161,-106.63539923663237,33.563885681040645,01 / 18 / 2023,07:13:48.4375 UTC
195454162,-106.66285650550415,33.6858182188262,01 / 18 / 2023,07:13:34.475 UTC
195454163,-106.6826135523683,33.72275731180449,01 / 18 / 2023,07:14:03.475 UTC
195454164,-106.63586656404975,33.56338553337221,01 / 18 / 2023,07:14:03.4375 UTC
195454122,-106.6344912940579,33.66983916201557,01 / 18 / 2023,07:10:19.5125 UTC
195454123,-106.66642721303187,33.67900436582646,01 / 18 / 2023,07:11:49.4875 UTC
196236479,-115.45808827209996,42.62437783391596,01 / 19 / 2023,18:52:03.475 UTC
201096775,-105.96218987924414,32.55340720558637,01 / 30 / 2023,04:52:57.4 UTC
201096776,-106.00523541208011,32.563911159039286,01 / 30 / 2023,04:54:57.3875 UTC
201096777,-105.95754288059979,32.55185279256056,01 / 30 / 2023,04:55:27.3875 UTC
