id,freq,comm
188536914,9412.818,X-Band RADAR
188536915,9411.861,X-Band RADAR
188536918,9413.073,X-Band RADAR
188536904,9413.512,X-Band RADAR
188536899,9407.738,X-Band RADAR
188536923,9411.711,X-Band RADAR
188536916,9406.675,X-Band RADAR
188536907,9411.671,X-Band RADAR
188536912,9411.085,X-Band RADAR
188536924,9413.817,X-Band RADAR
188536908,9408.703,X-Band RADAR
188536930,9411.682,X-Band RADAR
188536925,9413.169,X-Band RADAR
188536926,9412.075,X-Band RADAR
188536927,9407.755,X-Band RADAR
188536922,9406.27,X-Band RADAR
188536911,9413.943,X-Band RADAR
188536931,9406.789,X-Band RADAR
188536935,9412.754,X-Band RADAR
188661435,9412.213,X-Band RADAR
188661438,9409.026,X-Band RADAR
188661436,9411.707,X-Band RADAR
188661432,9408.19,X-Band RADAR
188661439,9413.372,X-Band RADAR
188661442,9408.866,X-Band RADAR
188661441,9406.902,X-Band RADAR
188661440,9412.841,X-Band RADAR
188661446,9405.523,X-Band RADAR
188661444,9411.233,X-Band RADAR
188661451,9413.476,X-Band RADAR
188661443,9411.322,X-Band RADAR
188661448,9406.144,X-Band RADAR
188661452,9409.372,X-Band RADAR
188661453,9411.737,X-Band RADAR
188661445,9412.33,X-Band RADAR
188661450,9412.916,X-Band RADAR
188661454,9413.979,X-Band RADAR
188661449,9412.828,X-Band RADAR
188661458,9412.605,X-Band RADAR
188661456,9411.434,X-Band RADAR
188661437,9407.919,X-Band RADAR
188661457,9409.501,X-Band RADAR
188661447,9408.234,X-Band RADAR
188661459,9412.199,X-Band RADAR
188661455,9407.164,X-Band RADAR
188661460,9406.027,X-Band RADAR
188661461,9412.518,X-Band RADAR
188717384,9409.698,X-Band RADAR
188717383,9412.053,X-Band RADAR
188717382,9408.256,X-Band RADAR
188717379,9409.545,X-Band RADAR
188717388,9405.586,X-Band RADAR
188717380,9408.347,X-Band RADAR
188717392,9408.871,X-Band RADAR
188717396,9412.633,X-Band RADAR
188717405,9413.305,X-Band RADAR
188717389,9407.872,X-Band RADAR
188717385,9413.575,X-Band RADAR
188717377,9411.359,X-Band RADAR
188717395,9412.646,X-Band RADAR
188717381,9413.556,X-Band RADAR
188717378,9411.434,X-Band RADAR
188717391,9409.601,X-Band RADAR
188717387,9412.87,X-Band RADAR
188717386,9413.986,X-Band RADAR
188717390,9412.32,X-Band RADAR
188717398,9408.13,X-Band RADAR
188717414,9409.417,X-Band RADAR
188717397,9412.81,X-Band RADAR
188717394,9411.509,X-Band RADAR
188717406,9413.045,X-Band RADAR
188717402,9408.405,X-Band RADAR
188717418,9411.513,X-Band RADAR
188717393,9412.805,X-Band RADAR
188717416,9413.082,X-Band RADAR
188717417,9413.427,X-Band RADAR
188717412,9406.59,X-Band RADAR
188717411,9412.917,X-Band RADAR
188717421,9411.749,X-Band RADAR
188717410,9407.762,X-Band RADAR
188717420,9412.335,X-Band RADAR
188726666,9405.652,X-Band RADAR
188726667,9412.966,X-Band RADAR
188726668,9408.124,X-Band RADAR
188726671,9407.891,X-Band RADAR
188726672,9411.479,X-Band RADAR
188726674,9412.752,X-Band RADAR
188728856,9411.442,X-Band RADAR
188728857,9407.844,X-Band RADAR
188728859,9413.058,X-Band RADAR
188728860,9412.884,X-Band RADAR
188903115,9408.96,X-Band RADAR
188903108,9412.545,X-Band RADAR
188903127,9407.095,X-Band RADAR
188903114,9409.215,X-Band RADAR
188903110,9406.48,X-Band RADAR
188903122,9407.834,X-Band RADAR
188903132,9405.339,X-Band RADAR
